A10271793,7
A11212746,7
A10018139,6
A10841928,7
A11450506,8
A10935345,5
A10023885,14
A10894782,12
A53069654,12
A97087812,15
A12382001,14
A09368539,12
A10921364,15
A10837205,14
A97061624,15
A10161601,14
A10334108,15
A97044254,15
A10569013,15
A11299953,15
A09295408,13
A12436261,14
A98100000,15
A09987897,12
A11336821,14
A05265684,13
A10931350,10
A10566466,14
A10775599,13
A91003195,13
A09922648,14
A91003195,13
A10650682,14
A11521816,15
A11410874,15
A09819627,14
A10584427,13
A10885453,14
A10931941,15
A09373192,14
A10685793,13
A10782910,14
A09993798,15
A10452327,12
A09574735,14
A10033623,13
A10169673,12
A10605876,11
A10695061,14
A09511208,13
A10572843,14
A11650628,14
A11001371,14
A11766645,15
A10472580,13
A10517355,13
A11574981,14
A99112499,12
A11561296,15
A10994570,13
A97018260,14
A11331606,15
A11188736,11
A09490511,15
A97106530,10
A10640444,12
A09822989,13
A09580189,15
A11994569,13
A99103062,11
A98011511,14
A10552084,13
A11438911,12
A11484755,14
A10450240,15
A97023472,15
A10884559,15
A10755074,15
A11691371,14
A10858500,15
A97068584,13
A09261790,13
A11630433,15
A10592125,12
A09492849,13
A09930309,11
A09933755,15
A10211745,15
A10148081,14
A98032189,15
A09965467,12
A11902093,14
A10515182,13
A98054567,15
A09787702,13
A10053986,15
A09555706,13
A09489698,11
A11455848,14
A99075414,14
A09334577,13
A10272479,14
A02174195,13
A10176126,15
A12443505,13
A11428773,14
A11386768,15
A09587224,15
A10545587,15
A09434013,13
A96065093,15
A10233937,13
A09465565,14
A09973152,15
A10884691,13
A98100081,12
A10275372,12
A98008591,13
A99016863,15
A99022009,15
A99105487,15
A09278899,14
A98422593,13
A09599375,13
A12083802,10
A97075340,12
A10275372,12
A98097699,15
A98054871,15
A99056158,15
A99128273,15
A09954987,15
A10201675,15
A11196323,15
A10765838,11
A10191323,15
A11748027,12
A98056237,12
A11166831,12
A10889274,15
A09989144,11
A10524702,13
A98069406,14
A10688717,15
A98069222,12
A09593894,15
A98075919,15
A10906045,14
A10063095,13
A98087685,12
A98080960,13
A09593894,15
A10975536,13
A09593894,15
A10226163,15
A10682861,14
A12216129,14
A11302458,14
A09637565,15
A10886858,14
A08851619,0
A53046436,3
A99419153,4
A09671376,0
A09549792,0
A98112057,1
A10675068,13
A10016458,11
A53067180,13
A10774358,12
A08958691,10
A10913400,11
A10565388,11
A09594780,9
A11051343,9
A10192235,10
A11735974,11
A10296294,10
A09944338,10
A09405468,9
A11758655,9
A97027128,8
A11715782,9
A11560435,8
A11159425,9
A10914402,11
A11051343,9
A08928786,10
A10907284,10
A10750333,12
A09995245,10
A10289406,8
A10776482,12
A09504010,13
A11757007,13
A10252756,9
A11020051,10
A10009075,9
A10410433,9
A09969885,12
A10653224,11
A10142456,9
A10559916,13
A09161951,9
A10813667,13
A10659855,12
A98024314,7
A10096980,9
A10096980,9
A09603028,11
A10623636,10
A11732920,9
A10715297,12
A09307269,9
A10546439,10
A10954259,9
A10650321,14
A11051343,9
A97083378,8
