Observation Quantity,Observed at least 2 people,1
Observation Quantity,Observed three people.,1
Observation Quantity,Provides valid explanation about how observed activity is related to brief.,1
Observation Breakdowns & Opportunities,Observations clearly demonstrate breakdowns or design opportunities.,1
Observation Breakdowns & Opportunities,"Observations were well written, informative, and comprehensive.",1
Observation Breakdowns & Opportunities,Observations were relevant to the brief and activity.,1
Photos/Sketches,Submitted photo or sketch #1 and captions demonstrate a breakdown or design opportunity.,1
Photos/Sketches,Submitted photo or sketch #2 and captions demonstrate a breakdown or design opportunity.,1
Photos/Sketches,Submitted photo or sketch #3 and captions demonstrate a breakdown or design opportunity.,1
Ideation Quantity,"Submitted 8+ user needs, excluding redundant or irrelevant needs.",1
Ideation Quantity,"Submitted 15+ user needs, excluding redundant or irrelevant needs.",1
Ideation Quality,"Needs were insightful, and could become the basis for a design project.",1
Ideation Quality,Needs were not articulated as solutions or features.,1
Needfinding Talk,Student gives talk in studio.,1
Needfinding Talk,"Student is focused and prepared, ending on time.",1
