A98056237,15,,,
A97075340,15,,,
A99105487,15,,,
A10889274,15,,,
A98008591,15,,,
A09954987,15,,,
A11166831,14,,,
A11428773,12,,,
A09973152,11,,,
A10497209,13,,,
A10233937,10,,,
A10765838,15,,,
A99056158,15,,,
A11196323,15,,,
A09307269,15,,,
A11748027,15,,,
A09989144,8,,,
A97083378,6,,,
A09638565,13,,,
A10563514,13,,,
A11560435,15,,,
A11561296,13,,,
A97018260,15,,,
A11574981,15,,,
A10994570,12,,,
A99112499,13,,,
U06708671,14,,,
A09993798,13,,,
A09574735,15,,,
A10605876,12,,,
A98011511,15,,,
A10472580,15,,,
A09580189,14,,,
A11509844,12,,,
A10289406,14,,,
A10009075,10,,,
A09822989,13,,,
A11188736,14,,,
A11994569,12,,,
A11020051,15,,,
A11757007,15,,,
A97106530,13,,,
A09382479,13,,,
A99103062,12,,,
A10776482,15,,,
A09490511,13,,,
A09995245,12,,,
A09504010,12,,,
A10750333,13,,,
A10907284,13,,,
A10640444,12,,,
A10410433,15,,,
A10559916,15,,,
A10142456,15,,,
A11691371,15,,,
A09492849,15,,,
A98032189,15,,,
A10884559,14,,,
A97023472,13,,,
A10653224,15,,,
A10858500,15,,,
A10450240,14,,,
A10018139,13,,,
A11484755,13,,,
A09787702,13,,,
A11455848,13,,,
A09555706,14,,,
A10176126,15,,,
A09603028,15,,,
A09334577,15,,,
A09787702,15,,,
A09489698,14,,,
A10053986,15,,,
A98054567,13,,,
A10525182,15,,,
A10272749,15,,,
A10524702,14,,,
A98087685,13,,,
A10975536,15,,,
A10682861,15,,,
A10226163,15,,,
A10650321,14,,,
A09549792,15,,,
A10916653,13,,,
A97087812,15,,,
A10675068,13,,,
A08851619,15,,,
A10023885,15,,,
A10894782,15,,,
A10774358,15,,,
A12382001,14,,,
A11051343,9,,,
A91003195,15,,,
A11051343,9,,,
A09987897,14,,,
A10650682,10,,,
A12436261,15,,,
A09295408,14,,,
A09922648,15,,,
A10193400,11,,,
A10565388,13,,,
A05265684,13,,,
A09594780,13,,,
A10566466,13,,,
A10775599,7,,,
A09368539,14,,,
A10837205,15,,,
A11299953,15,,,
A08958691,13,,,
A10569013,15,,,
A10161601,14,,,
A10334108,15,,,
A97061624,14,,,
A10921364,14,,,
A98097699,15,,,
A97044254,15,,,
A98100000,15,,,
A11735974,14,,,
A11521816,15,,,
A10296294,12,,,
A53046436,14,,,
A09373192,14,,,
A10885453,14,,,
A11410874,15,,,
A11410874,15,,,
A09819627,14,,,
A10063095,13,,,
A10275372,15,,,
A97083378,6,,,
A10841928,9,,,
